YEAR	MONTH	GLOBAL RADIATION (cal/cm.d)	SUNLIGHT (h/d)	PRECIPITATION (mm)	RELATIVE HUMIDITY (%)	 MAX TEMPERATURE (°C)	 MIN TEMPERATURE  (°C)	 AVERAGE TEMPERATURE  (°C)
1956 	MAY 		4.4	114.5	83	22.7	11.8	17.2
1957 	MAY 		7.0	4.2	73	24.9	11.0	18.0
1958 	MAY 		7.9	172.4	81	23.9	12.7	18.3
1959 	MAY 		7.1	29.4	74	27.4	13.5	20.5
1960 	MAY 		7.0	80.6	76	24.3	10.2	17.2
1961 	MAY 		6.5	34.5	80	26.0	12.4	19.2
1962 	MAY 		7.0	30.8	74	25.3	10.7	18.0
1963 	MAY 		7.8	4.2	64	27.7	9.4	18.6
1964 	MAY 		6.7	44.0	73	24.8	11.8	18.3
1965 	MAY 		6.0	78.3	77	24.9	12.3	18.6
1966 	MAY 		5.9	43.7	74	26.0	12.7	19.3
1967 	MAY 		8.2	4.2	66	28.3	11.9	20.1
1968 	MAY 		7.5	14.0	67	25.2	7.8	16.5
1969 	MAY 		6.6	36.6	70	27.3	11.3	19.3
1970 	MAY 		6.8	75.1	77	27.7	13.9	20.8
1971 	MAY 		5.0	91.4	77	24.6	11.9	18.3
1972 	MAY 		6.8	64.0	75			
1973 	MAY 			36.0	78			
1974 	MAY 		7.1	6.6	74	18.1	7.0	12.5
1975 	MAY 		7.2	11.3	76	26.1	12.1	19.2
1976 	MAY 		5.2	46.4	90	24.4	10.3	17.4
1977 	MAY 		6.7	0.9	80	25.5	11.1	18.3
1978 	MAY 	295	6.5	74.0	76	25.7	9.9	17.8
1979 	MAY 	172	5.8	96.9	81	26.0	11.2	18.6
1980 	MAY 	222	6.4	13.4	76	27.8	12.8	18.8
1981 	MAY 	260	7.2	44.9	77	27.9	12.6	20.3
1982 	MAY 	439	6.5	62.7	76	25.4	10.6	18.4
1983 	MAY 	365	4.5	334.7	83	26.5	15.2	21.2
1984 	MAY 	399	6.9	45.9	79	29.0	14.4	21.7
1985 	MAY 	402	7.2	42.6	75	26.7	11.4	19.0
1986 	MAY 	286	5.5	88.6	79	27.5	14.4	20.9
1987 	MAY 	244	5.4	199.9	81	25.0	13.9	19.5
1988 	MAY 	262	5.5	104.3	73	26.4	14.0	20.2
1989 	MAY 	285	7.4	33.0	67	26.0	11.5	18.8
1990 	MAY 	312	7.3	47.1	71	25.3	11.4	18.4
1991 	MAY 	314	8.0	42.1	77	26.8	12.6	19.7
1992 	MAY 	266	5.7	73.8	82	26.6	14.8	20.7
1993 	MAY 	283	6.6	119.7	80	26.2	13.1	19.7
1994 	MAY 	268	6.0	56.2	82	26.8	15.0	20.9
1995 	MAY 	282	6.3	64.2	85	25.9	13.7	18.8
1996 	MAY 	301	6.8	36.3	80	26.2	12.8	19.5
1997 	MAY 	305	6.6	55.0	78	25.7	12.6	19.2
1998 	MAY 	293	6.2	97.6	81	25.0	12.8	18.9
1999 	MAY 	328	7.5	51.3	79	25.4	11.2	18.3
2000 	MAY 	347	7.4	5.3	74	26.6	11.2	18.9
2001 	MAY 	316	6.1	60.6	78	25.4	12.9	19.2
2002 	MAY 	298	6.1	112.4	77	26.8	14.5	20.7
2003 	MAY 	324	7.3	54.7	80	25.8	11.8	18.8
2004 	MAY 	269	5.0	105.9	89	24.3	12.8	18.6
2005 	MAY 	316	6.7	164.3	77	27.9	13.7	20.8
2006 	MAY 	320	6.3	2.0	76	25.4	10.7	18.0
2007 	MAY 	333	6.8	58.4	92	25.9	12.8	19.4
2008 	MAY 	340	6.9	72.4	78	24.7	12.5	18.6
2009 	MAY 	357	7.2	10.6	78	27.5	13.9	20.7
2010 	MAY 	338	7.1	24.4	76	25.6	13.2	19.4
2011 	MAY 	349	7.4	28.7	75	25.8	12.2	19.0
2012 	MAY 	366	8.0	59.9	77	25.9	13.5	19.7
2013 	MAY 	332	6.5	83.6	78	27.1	14.3	20.7
2014 	MAY 	350	7.3	39.8	75	26.9	13.6	20.2
2015 	MAY 	327	6.2	86.7	83	26.3	14.9	20.6
2016 	MAY 	288	5.7	105.7	81	25.2	13.8	19.5
2017 	MAY 	313	6.6	161.6	81	26.2	14.8	20.5
2018 	MAY 	330	8.1	11.7	71	27.9	12.3	20.1
2019 	MAY 	339	6.6	55.2	78	27.9	15.1	21.5
1917 	JUN 			13.0		23.3	6.3	14.8
1918 	JUN 			15.8		24.3	8.8	16.5
1919 	JUN 			170.3		24.2	11.5	17.8
1920 	JUN 			16.0		25.2	9.6	17.4
1921 	JUN 		14.5	25.3		24.4	9.8	17.1
1922 	JUN 		12.8	72.6		24.5	11.6	18.0
1923 	JUN 		11.6	114.7		23.3	11.7	17.5
1924 	JUN 		15.5	19.0		25.5	10.1	17.8
1925 	JUN 		14.0	73.5		23.5	9.4	16.4
1926 	JUN 		7.4	32.0		27.0	11.9	19.5
1927 	JUN 		6.4	31.0		24.3	10.5	17.4
1928 	JUN 		6.6	66.3		25.2	11.0	18.1
1929 	JUN 		7.9	4.8		25.8	10.0	17.9
1930 	JUN 		7.8	22.0		28.1	12.0	20.0
1931 	JUN 		6.9	16.0		24.3	10.3	17.3
1932 	JUN 		6.4	44.0		23.9	10.8	17.4
1933 	JUN 		7.1	53.8		24.4	7.9	16.1
1934 	JUN 		8.4	37.5		26.0	11.5	18.8
1935 	JUN 		6.9	53.8		25.4	11.7	18.6
1936 	JUN 		9.1	2.0		27.9	12.7	20.3
1937 	JUN 		7.7	46.0		25.0	10.7	17.8
1938 	JUN 		7.8	0.0		25.9	10.3	18.1
1939 	JUN 		6.6	58.7		22.9	11.5	17.2
1940 	JUN 		8.3	4.2		26.4	10.6	18.5
1941 	JUN 		7.1	49.2		25.1	9.5	17.3
1942 	JUN 		5.6	46.4		23.4	10.6	17.0
1943 	JUN 		6.6	33.0	73	24.9	11.7	18.3
1944 	JUN 		7.6	13.1	64	26.0	9.3	17.6
1945 	JUN 		6.0	187.1	74	22.8	9.5	16.2
1946 	JUN 		6.7	19.6	69	24.8	9.4	17.1
1947 	JUN 		6.8	15.0	66	25.9	10.7	18.3
1948 	JUN 		7.8	4.1	68	25.6	9.0	17.3
1949 	JUN 		6.7	45.0	72	24.9	11.2	18.1
1950 	JUN 		6.9	47.9	71	25.1	11.4	18.2
1951 	JUN 		7.1	15.5	67	24.1	8.7	16.4
1952 	JUN 		4.4	96.9	73	24.3	11.0	17.6
1953 	JUN 		6.1	24.3	75	24.5	10.3	17.4
1954 	JUN 		4.6	69.7	78	26.0	11.7	18.8
1955 	JUN 		5.4	26.5	73	24.8	10.3	17.6
1956 	JUN 		4.4	70.2	80	21.0	10.0	15.5
1957 	JUN 		6.0	20.1	72	23.9	10.3	17.1
1958 	JUN 		7.5	70.1	73	24.7	10.2	17.4
1959 	JUN 		7.7	19.3	69	25.5	8.2	16.9
1960 	JUN 		6.7	63.3	73	24.4	9.4	16.9
1961 	JUN 		6.7	14.6	77	25.3	11.5	18.4
1962 	JUN 		6.8	51.7	77	23.4	8.1	15.7
1963 	JUN 		6.9	0.0	63	25.8	7.6	16.7
1964 	JUN 		5.4	15.0	72	23.8	9.7	16.7
1965 	JUN 		6.1	27.8	78	25.7	11.9	18.8
1966 	JUN 		6.9	0.0	63	26.6	10.4	18.5
1967 	JUN 		4.9	81.5	76	24.4	11.4	17.9
1968 	JUN 		6.5	27.1	72	25.3	8.6	16.9
1969 	JUN 		7.1	30.0	70	26.1	10.7	18.4
1970 	JUN 		5.8	40.2	77	25.8	12.6	19.2
1971 	JUN 		5.0	109.3	82	23.3	10.3	16.8
1972 	JUN 		7.9	5.3	91	28.1	10.1	19.1
1973 	JUN 			35.7	75			
1974 	JUN 		5.4	115.8	83	22.2	9.0	15.6
1975 	JUN 		6.8	0.0	74	25.2	9.6	17.4
1976 	JUN 		6.7	61.8	87	24.3	7.4	15.9
1977 	JUN 		5.0	46.8	81	24.3	11.6	17.9
1978 	JUN 	274	7.1	40.6	78	24.8	7.6	16.2
1979 	JUN 	140	7.3	0.0	73	24.8	8.1	16.5
1980 	JUN 	194	6.6	36.3	74	24.9	8.9	15.6
1981 	JUN 	312	5.3	68.5	78	23.7	9.4	16.5
1982 	JUN 	354	5.1	162.7	83	25.1	13.5	19.3
1983 	JUN 	319	4.6	174.0	81	23.6	12.7	18.1
1984 	JUN 	409	8.4	0.0	70	28.3	10.6	19.5
1985 	JUN 	373	7.5	22.5	72	24.3	8.1	16.2
1986 	JUN 	322	8.2	0.0	73	26.4	8.9	17.6
1987 	JUN 	263	6.3	122.7	77	24.5	9.7	17.1
1988 	JUN 	267	7.2	26.8	65	23.6	9.2	16.4
1989 	JUN 	233	6.0	47.0	71	24.1	10.5	17.3
1990 	JUN 	282	7.1	12.7	70	25.6	9.7	17.7
1991 	JUN 	245	6.3	35.1	77	25.7	12.0	18.9
1992 	JUN 	277	7.0	0.6	75	27.0	12.4	19.7
1993 	JUN 	264	6.6	47.0	81	24.7	11.6	18.2
1994 	JUN 	265	6.9	36.7	78	24.8	10.3	17.6
1995 	JUN 	275	7.1	23.5	80	26.0	11.4	18.7
1996 	JUN 	280	7.3	23.3	76	25.6	11.0	18.3
1997 	JUN 	250	5.6	124.5	84	23.5	11.4	17.4
1998 	JUN 	279	6.7	26.6	87	24.1	9.9	17.0
1999 	JUN 	257	6.0	68.6	83	23.9	11.0	17.5
2000 	JUN 	304	6.7	5.2	71	27.2	11.4	19.3
2001 	JUN 	282	5.7	19.9	77	25.1	11.9	18.5
2002 	JUN 	307	7.4	0.0	68	27.9	12.6	20.3
2003 	JUN 	294	7.0	9.2	80	27.8	12.4	20.1
2004 	JUN 	258	5.3	49.7	85	24.6	10.7	17.6
2005 	JUN 	288	6.2	42.5	79	26.5	12.9	19.7
2006 	JUN 	285	6.6	18.6	81	26.3	10.3	18.3
2007 	JUN 	336	8.1	22.6	90	27.3	11.3	19.4
2008 	JUN 	305	6.4	43.5	80	25.3	12.6	19.0
2009 	JUN 	313	6.5	55.1	78	23.7	9.8	16.7
2010 	JUN 	351	8.3	16.7	72	25.7	10.0	17.8
2011 	JUN 	327	7.4	49.3	76	24.5	9.2	16.8
2012 	JUN 	274	5.7	169.7	85	24.4	13.9	19.1
2013 	JUN 	267	4.9	123.0	87	26.2	14.5	20.4
2014 	JUN 	342	8.2	1.4	74	26.9	12.8	19.8
2015 	JUN 	329	7.8	3.8	78	26.5	13.7	20.1
2016 	JUN 	264	6.2	171.1	80	23.8	11.0	17.4
2017 	JUN 	305	7.1	17.8	78	25.1	11.8	18.4
2018 	JUN 	260	5.4	8.9	73	27.5	12.9	20.2
2019 	JUN 	337	7.8	10.6	72	27.0	12.2	19.6
1917 	JUL 			13.3		24.0	7.7	15.9
1918 	JUL 			55.1		23.7	8.7	16.2
1919 	JUL 			0.0		26.8	9.7	18.2
1920 	JUL 			42.9		25.2	10.8	18.0
1921 	JUL 		17.0	3.8		24.5	7.6	16.0
1922 	JUL 		14.6	22.0		24.5	9.9	17.2
1923 	JUL 		17.0	5.7		23.5	6.6	15.0
1924 	JUL 		18.0	0.0		26.2	8.2	17.2
1925 	JUL 		13.4	33.0		22.0	8.6	15.3
1926 	JUL 		7.0	139.2		24.6	9.4	17.0
1927 	JUL 		8.4	6.0		25.2	7.3	16.3
1928 	JUL 		7.5	29.3		25.0	10.0	17.5
1929 	JUL 		8.7	11.8		25.7	8.6	17.1
1930 	JUL 		7.7	68.5		25.6	10.7	18.1
1931 	JUL 		7.6	38.9		25.9	10.9	18.4
1932 	JUL 		8.9	5.6		26.4	10.3	18.3
1933 	JUL 		5.3	7.0		24.7	8.5	16.6
1934 	JUL 		8.6	0.0		25.5	8.5	17.0
1935 	JUL 		7.4	16.4		26.4	12.0	19.2
1936 	JUL 		8.1	20.8		26.5	9.8	18.2
1937 	JUL 		8.5	0.0		26.2	10.8	18.5
1938 	JUL 		9.5	13.0		26.6	9.5	18.1
1939 	JUL 		7.2	20.4		21.8	8.2	15.0
1940 	JUL 		8.3	1.1		28.1	10.4	19.3
1941 	JUL 		6.6	15.3		24.5	9.8	17.1
1942 	JUL 		6.3	57.5		22.0	7.7	14.8
1943 	JUL 		8.3	0.7	62	25.8	8.5	17.1
1944 	JUL 		7.8	2.7	60	24.4	7.9	16.1
1945 	JUL 		7.4	29.6	68	24.6	10.7	17.6
1946 	JUL 		7.5	88.9	69	24.0	9.2	16.6
1947 	JUL 		8.6	48.1	71	23.1	9.0	16.1
1948 	JUL 		5.8	40.0	66	26.1	12.2	19.2
1949 	JUL 		7.2	0.0	65	25.7	9.0	17.3
1950 	JUL 		7.9	13.0	66	25.5	9.5	17.5
1951 	JUL 		8.4	8.0	63	24.5	6.4	15.5
1952 	JUL 		7.4	4.8	65	25.5	9.0	17.3
1953 	JUL 		6.7	14.9	65	24.4	7.4	15.9
1954 	JUL 		6.1	8.7	69	27.3	9.8	18.5
1955 	JUL 		6.0	10.9	66	25.7	10.6	18.1
1956 	JUL 		6.1	53.3	75	23.1	9.9	16.5
1957 	JUL 		6.3	90.6	77	22.7	10.3	16.5
1958 	JUL 		6.3	15.2	75	25.0	11.0	18.0
1959 	JUL 		8.1	0.1	58	28.5	9.8	19.2
1960 	JUL 		7.9	0.0	65	25.5	9.4	17.5
1961 	JUL 		8.1	0.1	66	26.7	9.2	18.0
1962 	JUL 		7.0	20.5	68	23.5	7.7	15.6
1963 	JUL 		7.4	0.0	57	28.1	8.7	18.4
1964 	JUL 		5.3	77.0	73	22.8	8.3	15.5
1965 	JUL 		6.2	50.9	75	24.1	10.5	17.3
1966 	JUL 		6.5	12.1	60	26.8	11.3	19.1
1967 	JUL 		6.4	13.4	71	25.3	10.1	17.7
1968 	JUL 		7.4	17.6	66	24.8	8.4	16.6
1969 	JUL 		7.3	15.5	68	26.4	9.6	18.0
1970 	JUL 		6.9	10.5	72	25.0	9.8	17.4
1971 	JUL 			35.6				
1972 	JUL 		6.0	145.1	76	24.7	9.0	16.9
1973 	JUL 			59.6	76			
1974 	JUL 		7.9	0.0	74	26.2	9.6	17.9
1975 	JUL 		7.6	39.6	72	24.8	7.9	16.3
1976 	JUL 		6.6	77.7	86	23.2	7.1	15.2
1977 	JUL 		8.1	6.7	70	28.3	10.6	19.4
1978 	JUL 	290	6.8	78.9	75	26.3	8.3	17.3
1979 	JUL 	136	6.6	28.0	71	24.2	8.1	16.1
1980 	JUL 	217	6.3	0.0	73	26.6	9.9	17.3
1981 	JUL 	383	6.5	1.6	70	23.5	8.3	15.9
1982 	JUL 	430	7.2	24.5	77	25.8	11.3	18.5
1983 	JUL 	390	6.2	24.0	68	26.1	11.7	19.0
1984 	JUL 	407	7.9	8.9	65	28.1	10.9	19.5
1985 	JUL 	369	8.7	1.5	64	25.0	7.3	16.1
1986 	JUL 	306	7.3	10.5	70	25.0	9.9	17.4
1987 	JUL 	299	8.2	10.7	69	27.4	11.6	19.5
1988 	JUL 	311	8.3	0.0	61	23.5	7.1	15.3
1989 	JUL 	295	7.3	85.2	63	24.2	8.2	16.2
1990 	JUL 	266	6.4	134.6	73	23.6	9.8	16.7
1991 	JUL 	282	7.5	15.2	73	25.1	10.3	17.7
1992 	JUL 	279	6.5	36.6	74	24.9	11.3	18.1
1993 	JUL 	279	7.1	13.7	76	26.5	11.8	19.1
1994 	JUL 	317	8.3	24.7	71	27.0	10.7	18.8
1995 	JUL 	274	6.6	59.1	77	26.8	12.9	19.8
1996 	JUL 	302	7.7	2.3	75	25.1	9.5	17.3
1997 	JUL 	307	7.3	15.4	77	26.1	11.3	18.7
1998 	JUL 	299	7.2	13.9	81	25.9	10.8	18.4
1999 	JUL 	289	6.7	2.7	77	26.4	12.0	19.2
2000 	JUL 	320	6.5	60.4	72	24.7	8.8	16.6
2001 	JUL 	305	5.9	27.2	72	26.3	10.9	18.6
2002 	JUL 	267	6.0	23.4	68	25.2	10.2	17.7
2003 	JUL 	290	6.7	16.4	72	26.8	11.0	18.9
2004 	JUL 	280	5.6	78.4	83	23.8	11.0	17.4
2005 	JUL 	307	6.3	8.1	78	25.2	11.4	18.3
2006 	JUL 	273	6.4	32.4	79	27.1	10.7	18.9
2007 	JUL 	301	6.6	169.3	87	25.0	10.9	18.0
2008 	JUL 	375	8.7	0.0	66	26.7	9.8	18.2
2009 	JUL 	268	4.8	61.6	84	24.2	12.6	18.4
2010 	JUL 	339	7.5	62.9	68	26.9	12.6	19.8
2011 	JUL 	336	7.4	3.0	71	26.9	12.4	19.7
2012 	JUL 	368	8.6	25.3	72	26.1	11.1	18.6
2013 	JUL 	310	6.8	44.0	81	25.7	11.8	18.7
2014 	JUL 	329	7.1	25.9	73	25.8	11.8	18.8
2015 	JUL 	280	5.3	37.2	81	25.6	13.9	19.7
2016 	JUL 	334	7.8	2.4	67	26.9	10.6	18.8
2017 	JUL 	348	8.6	0.0	68	25.3	9.5	17.4
2018 	JUL 	322	8.3	2.4	62	28.7	10.1	19.4
2019 	JUL 	362	8.2	51.3	71	26.0	9.4	17.7
1917 	AUG 			5.4		26.4	7.5	16.9
1918 	AUG 			26.9		24.8	8.3	16.6
1919 	AUG 			54.6		24.0	9.9	17.0
1920 	AUG 			16.8		24.1	8.2	16.2
1921 	AUG 		15.6	26.5		28.1	12.5	20.3
1922 	AUG 		14.7	76.2		26.7	12.0	19.3
1923 	AUG 		15.2	31.5		26.5	11.3	18.9
1924 	AUG 		17.3	13.0		26.6	9.2	17.9
1925 	AUG 		18.9	0.0		30.0	11.0	20.5
1926 	AUG 		6.7	59.8		25.7	11.9	18.8
1927 	AUG 		6.7	63.1		25.6	10.3	17.9
1928 	AUG 		8.5	1.7		26.1	9.9	18.0
1929 	AUG 		7.2	50.2		25.9	10.9	18.4
1930 	AUG 		7.4	47.1		27.5	12.2	19.9
1931 	AUG 		8.5	11.0		27.2	9.0	18.1
1932 	AUG 		8.1	46.2		24.9	10.4	17.6
1933 	AUG 		8.7	15.4		27.6	9.3	18.4
1934 	AUG 		9.3	6.0		27.6	10.6	19.1
1935 	AUG 		8.1	18.4		26.6	11.3	19.0
1936 	AUG 		6.6	106.4		33.0	14.9	23.9
1937 	AUG 		8.2	67.0		28.0	12.0	20.0
1938 	AUG 		7.4	32.5		26.7	11.7	19.2
1939 	AUG 		9.1	0.0		27.9	9.5	18.7
1940 	AUG 		7.9	3.2		29.1	11.7	20.4
1941 	AUG 		7.5	17.6		29.0	13.4	21.2
1942 	AUG 		9.3	4.0		27.5	9.5	18.5
1943 	AUG 		7.6	13.5	59	25.8	9.8	17.8
1944 	AUG 		8.4	0.0	49	29.0	10.5	19.8
1945 	AUG 		8.3	1.6	59	29.9	12.9	21.4
1946 	AUG 		9.0	0.3	53	28.7	11.0	19.8
1947 	AUG 		9.0	68.6	68	25.5	10.8	18.2
1948 	AUG 		6.4	15.4	63	26.2	10.3	18.2
1949 	AUG 		7.2	5.8	59	27.3	10.9	19.1
1950 	AUG 		8.6	0.0	54	29.6	11.3	20.4
1951 	AUG 		7.1	33.2	63	25.8	9.7	17.8
1952 	AUG 		8.1	7.0	58	28.2	11.1	19.7
1953 	AUG 		7.2	23.2	58	28.5	9.8	19.2
1954 	AUG 		7.0	0.0	56	29.2	10.2	19.7
1955 	AUG 		6.1	86.5	63	27.4	9.8	18.6
1956 	AUG 		8.1	74.0	66	23.8	9.1	16.5
1957 	AUG 		7.0	51.7	66	26.2	11.5	18.8
1958 	AUG 		8.0	3.1	60	28.2	12.4	20.3
1959 	AUG 		6.4	72.3	66	26.9	11.1	19.0
1960 	AUG 		6.5	22.3	62	27.7	12.4	20.0
1961 	AUG 		8.0	11.9	57	29.3	10.6	20.0
1962 	AUG 		7.4	42.0	61	27.3	9.8	18.5
1963 	AUG 		6.5	7.6	51	29.1	10.8	19.9
1964 	AUG 		6.7	18.2	65	27.3	12.1	19.7
1965 	AUG 		7.8	3.8	61	27.9	10.9	19.4
1966 	AUG 		6.6	27.8	59	26.9	11.0	19.0
1967 	AUG 		7.5	0.0	54	30.3	12.0	21.1
1968 	AUG 		6.9	36.9	67	25.6	9.5	17.5
1969 	AUG 		7.3	31.1	62	28.4	11.8	20.1
1970 	AUG 		6.8	98.7	66	25.8	10.3	18.0
1971 	AUG 			3.3				
1972 	AUG 			51.6		25.6	11.4	18.5
1973 	AUG 			19.4	72			
1974 	AUG 		7.8	5.0	68	27.9	10.5	19.2
1975 	AUG 		8.7	32.0	59	30.3	13.2	22.1
1976 	AUG 		5.8	61.4	80	25.7	9.9	17.8
1977 	AUG 		7.9	19.7	69	28.7	11.4	20.1
1978 	AUG 	335	7.2	4.6	68	25.9	8.2	17.1
1979 	AUG 	140	6.8	81.4	70	27.6	11.9	19.8
1980 	AUG 	232	5.8	22.6	73	25.3	12.2	18.4
1981 	AUG 	440	6.1	3.6	68	27.5	10.7	19.1
1982 	AUG 	447	6.4	44.7	75	26.6	12.3	19.6
1983 	AUG 	553	8.3	2.2	62	27.3	10.5	19.0
1984 	AUG 	444	7.1	112.1	73	26.2	11.7	19.0
1985 	AUG 	430	8.2	21.8	60	29.0	10.5	19.7
1986 	AUG 	292	6.0	133.2	75	26.1	12.8	19.4
1987 	AUG 	335	8.2	5.9	62	26.7	9.8	18.3
1988 	AUG 	358	9.5	0.0	52	28.6	10.0	19.3
1989 	AUG 	361	8.3	32.0	61	26.6	10.5	18.5
1990 	AUG 	302	6.2	40.9	75	25.7	10.9	18.3
1991 	AUG 	328	7.9	4.7	66	27.8	12.4	20.1
1992 	AUG 	321	6.4	11.1	72	26.6	11.6	19.1
1993 	AUG 	303	6.9	51.8	74	26.2	10.6	18.4
1994 	AUG 	381	8.7	0.0	67	28.4	11.0	19.7
1995 	AUG 	369	9.0	1.2	68	30.4	13.1	21.7
1996 	AUG 	373	8.5	23.7	68	28.6	11.3	19.9
1997 	AUG 	362	7.7	15.9	71	27.8	11.2	19.5
1998 	AUG 	310	6.2	21.8	77	27.4	14.4	20.9
1999 	AUG 	375	8.4	0.0	64	27.9	10.2	19.1
2000 	AUG 	324	5.7	84.4	68	26.5	12.5	19.5
2001 	AUG 	391	7.4	44.2	65	28.0	12.5	20.2
2002 	AUG 	317	6.7	79.6	62	28.9	14.3	21.6
2003 	AUG 	332	6.6	17.8	73	26.2	10.8	18.5
2004 	AUG 	399	8.0	0.0	65	27.1	10.1	18.6
2005 	AUG 	386	7.9	24.1	69	29.2	12.2	20.7
2006 	AUG 	348	7.4	17.4	70	29.4	11.9	20.7
2007 	AUG 	407	8.4	0.0	69	28.7	11.6	20.2
2008 	AUG 	397	7.7	68.7	71	27.7	13.5	20.6
2009 	AUG 	384	7.1	61.4	71	26.3	13.2	19.7
2010 	AUG 	433	8.8	0.0	58	27.9	10.4	19.2
2011 	AUG 	374	7.3	31.5	66	27.9	13.2	20.5
2012 	AUG 	471	10.0	0.0	64	28.4	11.7	20.0
2013 	AUG 	413	8.5	2.5	65	27.8	10.9	19.4
2014 	AUG 	434	9.1	10.7	69	29.2	12.2	20.7
2015 	AUG 	441	9.3	32.3	64	29.1	12.6	20.9
2016 	AUG 	365	7.4	45.4	67	27.8	12.4	20.1
2017 	AUG 	328	7.0	50.6	70	26.3	12.3	19.3
2018 	AUG 	325	6.4	105.7	73	25.7	11.3	18.5
2019 	AUG 	396	7.8	6.2	67	27.7	11.5	19.6
1917 	SEP 			62.2		27.8	12.2	20.0
1918 	SEP 			68.6		26.4	12.8	19.6
1919 	SEP 			44.6		27.4	14.4	20.9
1920 	SEP 			111.3		26.2	11.8	19.0
1921 	SEP 		14.9	35.2		26.6	11.7	19.2
1922 	SEP 		15.2	7.7		28.4	13.2	20.8
1923 	SEP 		12.2	200.5		25.6	13.4	19.5
1924 	SEP 		16.2	15.5		28.7	12.6	20.7
1925 	SEP 		13.2	42.7		27.3	14.0	20.7
1926 	SEP 		6.6	69.0		29.0	15.4	22.2
1927 	SEP 		6.3	257.4		26.2	14.0	20.1
1928 	SEP 		6.9	0.0		29.5	13.7	21.6
1929 	SEP 		5.2	33.0		27.5	13.8	20.6
1930 	SEP 		7.0	52.6		28.1	12.9	20.5
1931 	SEP 		5.9	138.2		25.9	13.0	19.5
1932 	SEP 		7.5	48.6		29.6	13.2	21.4
1933 	SEP 		6.0	50.8		28.2	13.5	20.8
1934 	SEP 		5.3	59.8		27.2	14.1	20.7
1935 	SEP 		4.9	223.8		25.5	14.2	19.9
1936 	SEP 		6.3	88.0		26.3	13.0	19.6
1937 	SEP 		8.4	13.8		29.4	11.5	20.4
1938 	SEP 		5.7	80.3		28.0	13.7	20.9
1939 	SEP 		7.3	19.3		26.8	12.6	19.7
1940 	SEP 		8.4	28.1		29.8	12.3	21.0
1941 	SEP 		4.3	190.4		23.4	12.1	17.8
1942 	SEP 		6.7	22.8		27.8	11.9	19.8
1943 	SEP 		6.0	72.9	63	26.3	11.3	18.8
1944 	SEP 		6.9	13.3	51	30.2	13.5	21.8
1945 	SEP 		7.5	29.2	59	28.7	13.3	21.0
1946 	SEP 		7.3	21.3	52	29.9	13.6	21.7
1947 	SEP 		6.9	124.0	70	25.8	13.0	19.4
1948 	SEP 		5.1	9.1	57	29.5	12.3	20.9
1949 	SEP 		6.0	15.8	54	29.1	12.2	20.7
1950 	SEP 		6.0	11.1	53	29.3	12.9	21.1
1951 	SEP 		7.2	2.3	53	29.5	11.9	20.7
1952 	SEP 		5.9	40.7	62	27.1	13.0	20.1
1953 	SEP 		5.9	75.6	65	28.8	14.3	21.5
1954 	SEP 		2.2	23.2	60	30.4	13.8	22.1
1955 	SEP 		5.5	1.0	55	30.5	12.2	21.3
1956 	SEP 		6.8	72.7	66	27.6	13.9	20.8
1957 	SEP 		5.8	123.4	74	25.4	13.2	19.3
1958 	SEP 		6.9	96.4	64	26.3	13.1	19.7
1959 	SEP 		6.6	23.2	60	30.5	14.3	22.4
1960 	SEP 		7.3	8.7	55	30.3	12.8	21.5
1961 	SEP 		6.5	2.2	57	32.6	15.5	24.0
1962 	SEP 		6.8	32.2	66	28.7	14.0	21.3
1963 	SEP 		5.5	3.6	50	33.1	14.9	24.0
1964 	SEP 		7.1	61.3	56	29.5	13.3	21.4
1965 	SEP 		5.7	51.3	58	30.4	14.4	22.4
1966 	SEP 		6.8	128.7	61	27.3	12.3	19.8
1967 	SEP 		6.0	88.7	63	29.1	13.9	21.5
1968 	SEP 		6.9	16.3	59	28.2	12.1	20.2
1969 	SEP 		5.2	59.3	61	30.6	14.5	22.6
1970 	SEP 		6.1	90.6	72	26.8	13.3	20.0
1971 	SEP 			35.9				
1972 	SEP 		6.3	38.8		27.5	13.2	20.4
1973 	SEP 			55.5	74			
1974 	SEP 		7.1	24.0	66	30.6	13.7	22.2
1975 	SEP 		6.9	55.1	64	30.3	14.9	22.6
1976 	SEP 		4.6	124.8	79	24.7	11.8	18.3
1977 	SEP 		6.9	91.4	73	29.1	13.6	21.3
1978 	SEP 	397	7.0	57.2	71	26.9	11.8	19.3
1979 	SEP 	166	5.1	98.6	76	26.2	13.3	19.7
1980 	SEP 	288	5.5	62.5	71	24.7	11.7	18.0
1981 	SEP 	492	6.0	5.9	60	30.5	13.5	22.0
1982 	SEP 	553	7.3	8.1	68	28.6	13.1	20.8
1983 	SEP 	406	3.8	197.4	78	24.1	13.6	18.9
1984 	SEP 	544	7.5	90.4	69	27.0	12.3	19.7
1985 	SEP 	488	7.5	76.4	64	28.4	13.9	21.1
1986 	SEP 	375	7.4	36.7	64	27.7	14.1	20.9
1987 	SEP 	349	6.0	72.9	65	26.4	13.2	19.8
1988 	SEP 	344	7.8	4.1	53	30.7	14.3	22.5
1989 	SEP 	348	6.8	36.1	67	26.1	13.5	19.8
1990 	SEP 	344	6.0	61.0	73	26.5	12.2	19.3
1991 	SEP 	381	7.2	68.9	64	28.6	13.0	20.8
1992 	SEP 	283	4.3	87.5	81	25.1	14.0	19.6
